X,Y,Numerical Solution (in K)
0.0808081,0.474747,99.7301
0.0808081,0.484848,99.7297
0.0808081,0.494949,99.7296
0.0808081,0.505051,99.7297
0.0808081,0.515152,99.7301
0.0808081,0.525253,99.7308
0.0808081,0.535354,99.7318
0.0808081,0.545455,99.733
0.0808081,0.555556,99.7345
0.0808081,0.565657,99.7362
0.0808081,0.575758,99.7382
0.0808081,0.585859,99.7405
0.0808081,0.59596,99.743
0.0808081,0.606061,99.7458
0.0808081,0.616162,99.7489
0.0808081,0.626263,99.7522
0.0808081,0.636364,99.7557
0.0808081,0.646465,99.7595
0.0808081,0.656566,99.7635
0.0808081,0.666667,99.7678
0.0808081,0.676768,99.7723
0.0808081,0.686869,99.777
0.0808081,0.69697,99.7819
0.0808081,0.707071,99.7871
0.0808081,0.717172,99.7924
0.0808081,0.727273,99.798
0.0808081,0.737374,99.8037
0.0808081,0.747475,99.8097
0.0808081,0.757576,99.8158
0.0808081,0.767677,99.8221
0.0808081,0.777778,99.8286
0.0808081,0.787879,99.8352
0.0808081,0.79798,99.8421
0.0808081,0.808081,99.849
0.0808081,0.818182,99.8561
0.0808081,0.828283,99.8634
0.0808081,0.838384,99.8707
0.0808081,0.848485,99.8782
0.0808081,0.858586,99.8859
0.0808081,0.868687,99.8936
0.0808081,0.878788,99.9014
0.0808081,0.888889,99.9093
0.0808081,0.89899,99.9173
0.0808081,0.909091,99.9254
0.0808081,0.919192,99.9335
0.0808081,0.929293,99.9417
0.0808081,0.939394,99.9499
0.0808081,0.949495,99.9582
0.0808081,0.959596,99.9665
0.0808081,0.969697,99.9749
0.0808081,0.979798,99.9833
0.0808081,0.989899,99.9916
0.0808081,1,100
0.0909091,0,100
0.0909091,0.010101,99.9901
0.0909091,0.020202,99.9803
0.0909091,0.030303,99.9705
0.0909091,0.040404,99.9607
0.0909091,0.0505051,99.951
0.0909091,0.0606061,99.9414
0.0909091,0.0707071,99.9318
0.0909091,0.0808081,99.9223
0.0909091,0.0909091,99.9128
0.0909091,0.10101,99.9035
0.0909091,0.111111,99.8943
0.0909091,0.121212,99.8852
0.0909091,0.131313,99.8762
0.0909091,0.141414,99.8674
0.0909091,0.151515,99.8587
0.0909091,0.161616,99.8501
0.0909091,0.171717,99.8417
0.0909091,0.181818,99.8335
0.0909091,0.191919,99.8254
0.0909091,0.20202,99.8176
0.0909091,0.212121,99.8099
0.0909091,0.222222,99.8024
